
Host: macRoot.attlocal.net

Timers On : Tue Jul 14 07:22:09 2020
Timers Off: Tue Jul 14 07:25:05 2020

Wall Time:      175.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | WmbejT2                         :      0.100u      0.183s      0.252w    161 calls
| | CT2                             :      0.167u      0.133s      0.258w    161 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 06:51:21 2020
Timers Off: Thu Jul 16 11:01:32 2020

Wall Time:    15010.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      7.250u      0.183s      5.018w    250 calls
DFH: initialize()                   :     19.183u      1.233s     13.785w    250 calls
DFH: AO Construction                :      0.300u      0.017s      0.215w    250 calls
DFH: AO-Met. Contraction            :      0.000u      0.033s      0.022w    250 calls
HF: Form core H                     :      0.200u      0.833s      0.669w    250 calls
HF: Form S/X                        :      0.100u      0.017s      0.050w    250 calls
HF: Guess                           :     52.667u      1.967s     36.218w    250 calls
SAD Guess                           :     51.317u      1.917s     35.430w    250 calls
HF: Form G                          :      0.483u      0.050s      0.378w   1748 calls
JK: D                               :      0.067u      0.000s      0.033w   1748 calls
JK: USO2AO                          :      0.050u      0.000s      0.058w   1748 calls
JK: JK                              :      0.167u      0.050s      0.161w   1748 calls
DFH: compute_JK()                   :      0.117u      0.017s      0.141w   1748 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.007w   1748 calls
DFH: compute_J                      :      0.017u      0.000s      0.036w   1748 calls
DFH: compute_K                      :      0.017u      0.017s      0.046w   1748 calls
JK: AO2USO                          :      0.033u      0.000s      0.025w   1748 calls
HF: Form F                          :      0.067u      0.017s      0.047w   1748 calls
HF: Form D                          :      0.033u      0.017s      0.030w   1748 calls
HF: DIIS                            :      1.900u      0.733s      1.855w   1498 calls
DIISManager::add_entry              :      0.133u      0.450s      0.356w   1498 calls
DIISManager::extrapolate            :      0.183u      0.200s      0.275w   1498 calls
bMatrix setup                       :      0.083u      0.117s      0.079w   1498 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.083w   1498 calls
New vector                          :      0.017u      0.033s      0.074w   1498 calls
HF: Form C                          :      0.183u      0.017s      0.096w   1498 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      7.250u      0.183s      5.018w    250 calls
DFH: initialize()                   :     19.183u      1.233s     13.785w    250 calls
| DFH: AO Construction              :      0.300u      0.017s      0.215w    250 calls
| DFH: AO-Met. Contraction          :      0.000u      0.033s      0.022w    250 calls
HF: Form core H                     :      0.200u      0.833s      0.669w    250 calls
HF: Form S/X                        :      0.100u      0.017s      0.050w    250 calls
HF: Guess                           :     52.667u      1.967s     36.218w    250 calls
| SAD Guess                         :     51.317u      1.917s     35.430w    250 calls
HF: Form G                          :      0.483u      0.050s      0.378w   1748 calls
| JK: D                             :      0.067u      0.000s      0.033w   1748 calls
| JK: USO2AO                        :      0.050u      0.000s      0.058w   1748 calls
| JK: JK                            :      0.167u      0.050s      0.161w   1748 calls
| | DFH: compute_JK()               :      0.117u      0.017s      0.141w   1748 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.007w   1748 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.036w   1748 calls
| | | DFH: compute_K                :      0.017u      0.017s      0.046w   1748 calls
| JK: AO2USO                        :      0.033u      0.000s      0.025w   1748 calls
HF: Form F                          :      0.067u      0.017s      0.047w   1748 calls
HF: Form D                          :      0.033u      0.017s      0.030w   1748 calls
HF: DIIS                            :      1.900u      0.733s      1.855w   1498 calls
| DIISManager::add_entry            :      0.133u      0.450s      0.356w   1498 calls
| DIISManager::extrapolate          :      0.183u      0.200s      0.275w   1498 calls
| | bMatrix setup                   :      0.083u      0.117s      0.079w   1498 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.083w   1498 calls
| | New vector                      :      0.017u      0.033s      0.074w   1498 calls
HF: Form C                          :      0.183u      0.017s      0.096w   1498 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 21:46:03 2020
Timers Off: Thu Jul 16 21:54:57 2020

Wall Time:      534.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.500u      0.000s      0.949w     52 calls
DFH: initialize()                   :      4.033u      0.167s      2.602w     52 calls
DFH: AO Construction                :      0.200u      0.017s      0.039w     52 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w     52 calls
HF: Form core H                     :      0.067u      0.217s      0.120w     52 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     52 calls
HF: Guess                           :     10.750u      0.300s      6.866w     52 calls
SAD Guess                           :     10.550u      0.283s      6.719w     52 calls
HF: Form G                          :      0.083u      0.050s      0.067w    362 calls
JK: D                               :      0.000u      0.017s      0.004w    362 calls
JK: USO2AO                          :      0.050u      0.000s      0.009w    362 calls
JK: JK                              :      0.033u      0.033s      0.030w    362 calls
DFH: compute_JK()                   :      0.033u      0.033s      0.026w    362 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    362 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    362 calls
DFH: compute_K                      :      0.017u      0.017s      0.009w    362 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w    362 calls
HF: Form F                          :      0.000u      0.000s      0.007w    362 calls
HF: Form D                          :      0.017u      0.000s      0.004w    362 calls
HF: DIIS                            :      0.333u      0.133s      0.314w    310 calls
DIISManager::add_entry              :      0.017u      0.067s      0.055w    310 calls
DIISManager::extrapolate            :      0.083u      0.050s      0.045w    310 calls
bMatrix setup                       :      0.033u      0.017s      0.014w    310 calls
bMatrix pseudoinverse               :      0.033u      0.017s      0.014w    310 calls
New vector                          :      0.017u      0.000s      0.010w    310 calls
HF: Form C                          :      0.000u      0.000s      0.016w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.500u      0.000s      0.949w     52 calls
DFH: initialize()                   :      4.033u      0.167s      2.602w     52 calls
| DFH: AO Construction              :      0.200u      0.017s      0.039w     52 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w     52 calls
HF: Form core H                     :      0.067u      0.217s      0.120w     52 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     52 calls
HF: Guess                           :     10.750u      0.300s      6.866w     52 calls
| SAD Guess                         :     10.550u      0.283s      6.719w     52 calls
HF: Form G                          :      0.083u      0.050s      0.067w    362 calls
| JK: D                             :      0.000u      0.017s      0.004w    362 calls
| JK: USO2AO                        :      0.050u      0.000s      0.009w    362 calls
| JK: JK                            :      0.033u      0.033s      0.030w    362 calls
| | DFH: compute_JK()               :      0.033u      0.033s      0.026w    362 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    362 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    362 calls
| | | DFH: compute_K                :      0.017u      0.017s      0.009w    362 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w    362 calls
HF: Form F                          :      0.000u      0.000s      0.007w    362 calls
HF: Form D                          :      0.017u      0.000s      0.004w    362 calls
HF: DIIS                            :      0.333u      0.133s      0.314w    310 calls
| DIISManager::add_entry            :      0.017u      0.067s      0.055w    310 calls
| DIISManager::extrapolate          :      0.083u      0.050s      0.045w    310 calls
| | bMatrix setup                   :      0.033u      0.017s      0.014w    310 calls
| | bMatrix pseudoinverse           :      0.033u      0.017s      0.014w    310 calls
| | New vector                      :      0.017u      0.000s      0.010w    310 calls
HF: Form C                          :      0.000u      0.000s      0.016w    310 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 21:55:22 2020
Timers Off: Thu Jul 16 22:12:30 2020

Wall Time:     1028.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.550u      0.017s      0.952w     52 calls
DFH: initialize()                   :      4.017u      0.150s      2.586w     52 calls
DFH: AO Construction                :      0.100u      0.000s      0.040w     52 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w     52 calls
HF: Form core H                     :      0.050u      0.200s      0.119w     52 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w     52 calls
HF: Guess                           :     11.050u      0.300s      7.038w     52 calls
SAD Guess                           :     10.767u      0.300s      6.892w     52 calls
HF: Form G                          :      0.083u      0.017s      0.065w    362 calls
JK: D                               :      0.017u      0.000s      0.004w    362 calls
JK: USO2AO                          :      0.017u      0.000s      0.009w    362 calls
JK: JK                              :      0.050u      0.000s      0.030w    362 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.026w    362 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    362 calls
DFH: compute_J                      :      0.017u      0.000s      0.007w    362 calls
DFH: compute_K                      :      0.000u      0.000s      0.008w    362 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w    362 calls
HF: Form F                          :      0.000u      0.017s      0.006w    362 calls
HF: Form D                          :      0.017u      0.000s      0.004w    362 calls
HF: DIIS                            :      0.317u      0.100s      0.314w    310 calls
DIISManager::add_entry              :      0.000u      0.067s      0.057w    310 calls
DIISManager::extrapolate            :      0.050u      0.017s      0.045w    310 calls
bMatrix setup                       :      0.000u      0.017s      0.013w    310 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.014w    310 calls
New vector                          :      0.050u      0.000s      0.010w    310 calls
HF: Form C                          :      0.050u      0.000s      0.016w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.550u      0.017s      0.952w     52 calls
DFH: initialize()                   :      4.017u      0.150s      2.586w     52 calls
| DFH: AO Construction              :      0.100u      0.000s      0.040w     52 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w     52 calls
HF: Form core H                     :      0.050u      0.200s      0.119w     52 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w     52 calls
HF: Guess                           :     11.050u      0.300s      7.038w     52 calls
| SAD Guess                         :     10.767u      0.300s      6.892w     52 calls
HF: Form G                          :      0.083u      0.017s      0.065w    362 calls
| JK: D                             :      0.017u      0.000s      0.004w    362 calls
| JK: USO2AO                        :      0.017u      0.000s      0.009w    362 calls
| JK: JK                            :      0.050u      0.000s      0.030w    362 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.026w    362 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    362 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.007w    362 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.008w    362 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w    362 calls
HF: Form F                          :      0.000u      0.017s      0.006w    362 calls
HF: Form D                          :      0.017u      0.000s      0.004w    362 calls
HF: DIIS                            :      0.317u      0.100s      0.314w    310 calls
| DIISManager::add_entry            :      0.000u      0.067s      0.057w    310 calls
| DIISManager::extrapolate          :      0.050u      0.017s      0.045w    310 calls
| | bMatrix setup                   :      0.000u      0.017s      0.013w    310 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.014w    310 calls
| | New vector                      :      0.050u      0.000s      0.010w    310 calls
HF: Form C                          :      0.050u      0.000s      0.016w    310 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 22:26:17 2020
Timers Off: Fri Jul 17 15:30:04 2020

Wall Time:    45966.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.517u      0.050s      1.561w     84 calls
DFH: initialize()                   :      6.517u      0.200s      4.344w     84 calls
DFH: AO Construction                :      0.083u      0.017s      0.071w     84 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w     84 calls
HF: Form core H                     :      0.067u      0.317s      0.199w     84 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     84 calls
HF: Guess                           :     18.100u      0.500s     11.627w     84 calls
SAD Guess                           :     17.750u      0.483s     11.391w     84 calls
HF: Form G                          :      0.133u      0.067s      0.109w    664 calls
JK: D                               :      0.000u      0.017s      0.006w    664 calls
JK: USO2AO                          :      0.017u      0.033s      0.016w    664 calls
JK: JK                              :      0.100u      0.000s      0.049w    664 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.043w    664 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w    664 calls
DFH: compute_J                      :      0.050u      0.000s      0.011w    664 calls
DFH: compute_K                      :      0.000u      0.000s      0.015w    664 calls
JK: AO2USO                          :      0.000u      0.000s      0.008w    664 calls
HF: Form F                          :      0.017u      0.000s      0.010w    664 calls
HF: Form D                          :      0.000u      0.000s      0.007w    664 calls
HF: DIIS                            :      0.783u      0.233s      0.594w    580 calls
DIISManager::add_entry              :      0.050u      0.183s      0.101w    580 calls
DIISManager::extrapolate            :      0.200u      0.050s      0.090w    580 calls
bMatrix setup                       :      0.067u      0.033s      0.032w    580 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.025w    580 calls
New vector                          :      0.033u      0.000s      0.022w    580 calls
HF: Form C                          :      0.033u      0.000s      0.031w    580 calls
CIWave: CIvect write                :      0.000u      0.017s      0.007w    378 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.009w   1053 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    216 calls
CIWave: s3                          :      0.000u      0.000s      0.004w    756 calls
ccenergy                            :      2.983u     10.617s      9.738w     15 calls
F build                             :      0.100u      0.150s      0.194w    161 calls
Wmbej build                         :      0.133u      0.167s      0.205w    161 calls
C->Wmbej                            :      0.017u      0.033s      0.019w    161 calls
F->Wmbej                            :      0.050u      0.033s      0.072w    161 calls
E->Wmbej                            :      0.017u      0.050s      0.049w    161 calls
X->Wmbej                            :      0.050u      0.000s      0.045w    161 calls
Z                                   :      0.017u      0.017s      0.012w    161 calls
T2 Build                            :      0.267u      0.150s      0.403w    161 calls
BT2                                 :      0.050u      0.000s      0.060w    161 calls
ABCD:new                            :      0.050u      0.000s      0.058w    161 calls
ABCD:S                              :      0.000u      0.000s      0.011w    161 calls
ABCD:A                              :      0.017u      0.000s      0.010w    161 calls
ABCD:axpy                           :      0.017u      0.000s      0.015w    161 calls
FT2                                 :      0.000u      0.000s      0.018w    161 calls
WmbejT2                             :      0.117u      0.067s      0.133w    161 calls
CT2                                 :      0.067u      0.033s      0.124w    161 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.517u      0.050s      1.561w     84 calls
DFH: initialize()                   :      6.517u      0.200s      4.344w     84 calls
| DFH: AO Construction              :      0.083u      0.017s      0.071w     84 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w     84 calls
HF: Form core H                     :      0.067u      0.317s      0.199w     84 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     84 calls
HF: Guess                           :     18.100u      0.500s     11.627w     84 calls
| SAD Guess                         :     17.750u      0.483s     11.391w     84 calls
HF: Form G                          :      0.133u      0.067s      0.109w    664 calls
| JK: D                             :      0.000u      0.017s      0.006w    664 calls
| JK: USO2AO                        :      0.017u      0.033s      0.016w    664 calls
| JK: JK                            :      0.100u      0.000s      0.049w    664 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.043w    664 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w    664 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.011w    664 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.015w    664 calls
| JK: AO2USO                        :      0.000u      0.000s      0.008w    664 calls
HF: Form F                          :      0.017u      0.000s      0.010w    664 calls
HF: Form D                          :      0.000u      0.000s      0.007w    664 calls
HF: DIIS                            :      0.783u      0.233s      0.594w    580 calls
| DIISManager::add_entry            :      0.050u      0.183s      0.101w    580 calls
| DIISManager::extrapolate          :      0.200u      0.050s      0.090w    580 calls
| | bMatrix setup                   :      0.067u      0.033s      0.032w    580 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.025w    580 calls
| | New vector                      :      0.033u      0.000s      0.022w    580 calls
HF: Form C                          :      0.033u      0.000s      0.031w    580 calls
CIWave: CIvect write                :      0.000u      0.017s      0.007w    378 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.009w   1053 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    216 calls
CIWave: s3                          :      0.000u      0.000s      0.004w    756 calls
ccenergy                            :      2.983u     10.617s      9.738w     15 calls
| F build                           :      0.100u      0.150s      0.194w    161 calls
| Wmbej build                       :      0.133u      0.167s      0.205w    161 calls
| | C->Wmbej                        :      0.017u      0.033s      0.019w    161 calls
| | F->Wmbej                        :      0.050u      0.033s      0.072w    161 calls
| | E->Wmbej                        :      0.017u      0.050s      0.049w    161 calls
| | X->Wmbej                        :      0.050u      0.000s      0.045w    161 calls
| Z                                 :      0.017u      0.017s      0.012w    161 calls
| T2 Build                          :      0.267u      0.150s      0.403w    161 calls
| | BT2                             :      0.050u      0.000s      0.060w    161 calls
| | | ABCD:new                      :      0.050u      0.000s      0.058w    161 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.011w    161 calls
| | | | ABCD:A                      :      0.017u      0.000s      0.010w    161 calls
| | | | ABCD:axpy                   :      0.017u      0.000s      0.015w    161 calls
| | FT2                             :      0.000u      0.000s      0.018w    161 calls
| | WmbejT2                         :      0.117u      0.067s      0.133w    161 calls
| | CT2                             :      0.067u      0.033s      0.124w    161 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Fri Jul 17 08:07:03 2020
Timers Off: Fri Jul 17 15:32:34 2020

Wall Time:    26732.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 22:13:41 2020
Timers Off: Fri Jul 17 15:32:34 2020

Wall Time:    46872.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.533u      0.033s      0.943w     50 calls
DFH: initialize()                   :      3.900u      0.117s      2.506w     50 calls
DFH: AO Construction                :      0.133u      0.000s      0.041w     50 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w     50 calls
HF: Form core H                     :      0.033u      0.183s      0.116w     50 calls
HF: Form S/X                        :      0.033u      0.000s      0.009w     50 calls
HF: Guess                           :     10.467u      0.367s      6.707w     50 calls
SAD Guess                           :     10.250u      0.350s      6.566w     50 calls
HF: Form G                          :      0.067u      0.050s      0.065w    348 calls
JK: D                               :      0.000u      0.000s      0.004w    348 calls
JK: USO2AO                          :      0.017u      0.000s      0.009w    348 calls
JK: JK                              :      0.033u      0.017s      0.029w    348 calls
DFH: compute_JK()                   :      0.033u      0.017s      0.026w    348 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    348 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    348 calls
DFH: compute_K                      :      0.017u      0.017s      0.009w    348 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w    348 calls
HF: Form F                          :      0.000u      0.000s      0.006w    348 calls
HF: Form D                          :      0.000u      0.000s      0.004w    348 calls
HF: DIIS                            :      0.383u      0.067s      0.315w    298 calls
DIISManager::add_entry              :      0.017u      0.033s      0.055w    298 calls
DIISManager::extrapolate            :      0.017u      0.033s      0.045w    298 calls
bMatrix setup                       :      0.000u      0.017s      0.013w    298 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.014w    298 calls
New vector                          :      0.000u      0.000s      0.010w    298 calls
HF: Form C                          :      0.050u      0.000s      0.016w    298 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.533u      0.033s      0.943w     50 calls
DFH: initialize()                   :      3.900u      0.117s      2.506w     50 calls
| DFH: AO Construction              :      0.133u      0.000s      0.041w     50 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w     50 calls
HF: Form core H                     :      0.033u      0.183s      0.116w     50 calls
HF: Form S/X                        :      0.033u      0.000s      0.009w     50 calls
HF: Guess                           :     10.467u      0.367s      6.707w     50 calls
| SAD Guess                         :     10.250u      0.350s      6.566w     50 calls
HF: Form G                          :      0.067u      0.050s      0.065w    348 calls
| JK: D                             :      0.000u      0.000s      0.004w    348 calls
| JK: USO2AO                        :      0.017u      0.000s      0.009w    348 calls
| JK: JK                            :      0.033u      0.017s      0.029w    348 calls
| | DFH: compute_JK()               :      0.033u      0.017s      0.026w    348 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    348 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    348 calls
| | | DFH: compute_K                :      0.017u      0.017s      0.009w    348 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w    348 calls
HF: Form F                          :      0.000u      0.000s      0.006w    348 calls
HF: Form D                          :      0.000u      0.000s      0.004w    348 calls
HF: DIIS                            :      0.383u      0.067s      0.315w    298 calls
| DIISManager::add_entry            :      0.017u      0.033s      0.055w    298 calls
| DIISManager::extrapolate          :      0.017u      0.033s      0.045w    298 calls
| | bMatrix setup                   :      0.000u      0.017s      0.013w    298 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.014w    298 calls
| | New vector                      :      0.000u      0.000s      0.010w    298 calls
HF: Form C                          :      0.050u      0.000s      0.016w    298 calls

**************************************************************************************
